timestamp,ship_grade,dock_position,destination,energyconsumption
1/1/2024 1:03,70000,mineral_2,8,39480
1/1/2024 4:17,70000,coal,5,74324.44444
1/1/2024 9:34,120000,coal,21,90080
1/1/2024 16:48,150000,coal,22,135933.3333
1/1/2024 23:57,120000,coal,32,108928.7805
1/2/2024 1:03,150000,coal,30,183282.9268
1/2/2024 4:17,70000,coal,19,52546.66667
1/2/2024 9:34,120000,mineral_2,21,77280
1/2/2024 16:48,150000,mineral_1,23,129000
1/2/2024 23:57,70000,coal,19,52546.66667
1/3/2024 1:03,70000,mineral_2,22,31080
1/3/2024 4:17,70000,mineral_1,23,60200
1/3/2024 9:34,70000,coal,4,63435.55556
1/3/2024 16:48,150000,mineral_2,8,84600
1/3/2024 23:57,120000,mineral_2,9,72480
1/4/2024 1:03,120000,coal,22,108746.6667
1/4/2024 4:17,120000,mineral_1,12,115680
1/4/2024 9:34,70000,coal,3,52546.66667
1/4/2024 16:48,150000,coal,20,89266.66667
1/4/2024 23:57,70000,mineral_1,11,74760
1/5/2024 1:03,120000,mineral_2,22,53280
1/5/2024 4:17,120000,mineral_2,6,58080
1/5/2024 9:34,120000,mineral_2,6,58080
1/5/2024 16:48,70000,mineral_1,23,60200
1/5/2024 23:57,70000,mineral_2,9,42280
1/6/2024 1:03,150000,mineral_1,12,144600
1/6/2024 4:17,70000,mineral_2,7,36680
1/6/2024 9:34,120000,coal,2,71413.33333
1/6/2024 16:48,120000,coal,5,127413.3333
1/6/2024 23:57,150000,mineral_1,11,160200
1/7/2024 1:03,70000,mineral_1,12,67480
1/7/2024 4:17,150000,coal,22,135933.3333
1/7/2024 9:34,70000,coal,24,85213.33333
1/7/2024 16:48,120000,mineral_2,21,77280
1/7/2024 23:57,70000,mineral_2,9,42280
1/8/2024 1:03,120000,coal,32,108928.7805
1/8/2024 4:17,150000,coal,21,112600
1/8/2024 9:34,70000,coal,29,96527.15447
1/8/2024 16:48,150000,mineral_2,8,84600
1/8/2024 23:57,70000,coal,20,41657.77778
1/9/2024 1:03,70000,coal,5,74324.44444
1/9/2024 4:17,70000,coal,23,74324.44444
1/9/2024 9:34,150000,coal,31,159721.9512
1/9/2024 16:48,70000,coal,20,41657.77778
1/9/2024 23:57,120000,coal,29,165475.122
1/10/2024 1:03,70000,mineral_1,22,52920
1/10/2024 4:17,120000,coal,29,165475.122
1/10/2024 9:34,120000,mineral_1,10,121851.4286
1/10/2024 16:48,120000,mineral_2,21,77280
1/10/2024 23:57,150000,coal,20,89266.66667
1/11/2024 1:03,120000,mineral_1,13,103200
1/11/2024 4:17,150000,mineral_1,13,129000
1/11/2024 9:34,120000,mineral_1,24,115680
1/11/2024 16:48,70000,coal,3,52546.66667
1/11/2024 23:57,120000,mineral_2,21,77280
1/12/2024 1:03,120000,mineral_1,9,118765.7143
1/12/2024 4:17,70000,coal,2,41657.77778
1/12/2024 9:34,150000,coal,5,159266.6667
1/12/2024 16:48,120000,mineral_2,7,62880
1/12/2024 23:57,120000,coal,23,127413.3333
1/13/2024 1:03,70000,coal,4,63435.55556
1/13/2024 4:17,150000,coal,32,136160.9756
1/13/2024 9:34,70000,mineral_1,12,67480
1/13/2024 16:48,70000,coal,22,63435.55556
1/13/2024 23:57,120000,mineral_1,11,128160
1/14/2024 1:03,120000,mineral_1,14,90720
1/14/2024 4:17,120000,mineral_1,22,90720
1/14/2024 9:34,70000,coal,32,63541.78862
1/14/2024 16:48,120000,coal,21,90080
1/14/2024 23:57,120000,mineral_1,10,121851.4286
1/15/2024 1:03,120000,mineral_1,22,90720
1/15/2024 4:17,70000,coal,2,41657.77778
1/15/2024 9:34,120000,coal,19,90080
1/15/2024 16:48,120000,coal,24,146080
1/15/2024 23:57,120000,coal,5,127413.3333
1/16/2024 1:03,120000,mineral_2,6,58080
1/16/2024 4:17,120000,mineral_1,9,118765.7143
1/16/2024 9:34,70000,coal,21,52546.66667
1/16/2024 16:48,120000,mineral_1,12,115680
1/16/2024 23:57,70000,coal,23,74324.44444
1/17/2024 1:03,150000,mineral_2,7,78600
1/17/2024 4:17,120000,coal,32,108928.7805
1/17/2024 9:34,70000,coal,21,52546.66667
1/17/2024 16:48,120000,coal,23,127413.3333
1/17/2024 23:57,120000,coal,23,127413.3333
1/18/2024 1:03,70000,mineral_2,22,31080
1/18/2024 4:17,120000,coal,29,165475.122
1/18/2024 9:34,70000,mineral_2,22,31080
1/18/2024 16:48,150000,mineral_2,22,66600
1/18/2024 23:57,70000,mineral_2,9,42280
1/19/2024 1:03,120000,mineral_1,21,78240
1/19/2024 4:17,150000,coal,32,136160.9756
1/19/2024 9:34,70000,mineral_1,13,60200
1/19/2024 16:48,120000,coal,23,127413.3333
1/19/2024 23:57,70000,mineral_2,6,33880
1/20/2024 1:03,70000,coal,19,52546.66667
1/20/2024 4:17,150000,coal,31,159721.9512
1/20/2024 9:34,120000,coal,3,90080
1/20/2024 16:48,120000,coal,22,108746.6667
1/20/2024 23:57,120000,mineral_1,9,118765.7143
1/1/2024 1:07,70000,mineral_2,6,33880
1/1/2024 3:21,150000,mineral_1,9,148457.1429
1/1/2024 5:42,120000,coal,5,127413.3333
1/1/2024 7:55,70000,coal,24,85213.33333
1/1/2024 10:13,70000,mineral_1,9,69280
1/1/2024 14:36,120000,coal,29,165475.122
1/1/2024 19:49,120000,coal,19,90080
1/1/2024 22:58,70000,coal,24,85213.33333
1/2/2024 1:07,150000,coal,5,159266.6667
1/2/2024 3:21,70000,mineral_1,24,67480
1/2/2024 5:42,150000,coal,21,112600
1/2/2024 7:55,70000,coal,2,41657.77778
1/2/2024 10:13,150000,coal,20,89266.66667
1/2/2024 14:36,70000,coal,22,63435.55556
1/2/2024 19:49,150000,coal,23,159266.6667
1/2/2024 22:58,70000,coal,24,85213.33333
1/3/2024 1:07,70000,coal,19,52546.66667
1/3/2024 3:21,120000,coal,5,127413.3333
1/3/2024 5:42,70000,coal,24,85213.33333
1/3/2024 7:55,120000,coal,20,71413.33333
1/3/2024 10:13,70000,mineral_2,8,39480
1/3/2024 14:36,70000,coal,2,41657.77778
1/3/2024 19:49,120000,coal,19,90080
1/3/2024 22:58,70000,coal,4,63435.55556
1/4/2024 1:07,150000,coal,30,183282.9268
1/4/2024 3:21,70000,mineral_1,9,69280
1/4/2024 5:42,70000,mineral_1,14,52920
1/4/2024 7:55,70000,mineral_1,14,52920
1/4/2024 10:13,120000,coal,3,90080
1/4/2024 14:36,150000,coal,32,136160.9756
1/4/2024 19:49,150000,coal,21,112600
1/4/2024 22:58,120000,coal,21,90080
1/5/2024 1:07,150000,coal,3,112600
1/5/2024 3:21,120000,coal,21,90080
