noise,strategy,trial,total_cost,peak_kW
0.0,Economic MPC,0,619570588.2575306,435633.8830798234
0.0,Robust MPC,0,619574287.8640305,435633.8830798234
0.1,Economic MPC,0,619808980.6445656,435633.8830798234
0.1,Robust MPC,0,619808980.6445656,435633.8830798234
0.1,Economic MPC,1,620290267.4734806,435633.8830798234
0.1,Robust MPC,1,620293587.0554601,435633.8830798234
0.1,Economic MPC,2,621256330.8944129,435633.8830798234
0.1,Robust MPC,2,621256330.8944129,435633.8830798234
0.1,Economic MPC,3,619699730.1024778,435633.8830798234
0.1,Robust MPC,3,619703429.7089777,435633.8830798234
0.1,Economic MPC,4,620916140.36069,435633.8830798234
0.1,Robust MPC,4,620916140.36069,435633.8830798234
0.2,Economic MPC,0,619855147.9721018,435633.8830798234
0.2,Robust MPC,0,619855147.9721018,435633.8830798234
0.2,Economic MPC,1,621300153.7623798,435633.8830798234
0.2,Robust MPC,1,621300153.7623798,435633.8830798234
0.2,Economic MPC,2,619702444.8635849,435633.8830798234
0.2,Robust MPC,2,619702444.8635849,435633.8830798234
0.2,Economic MPC,3,621128549.1918555,435633.8830798234
0.2,Robust MPC,3,621128549.1918555,435633.8830798234
0.2,Economic MPC,4,619646102.0897378,435633.8830798234
0.2,Robust MPC,4,619646102.0897378,435633.8830798234
0.3,Economic MPC,0,620347722.1742059,435633.8830798234
0.3,Robust MPC,0,620347722.1742059,435633.8830798234
0.3,Economic MPC,1,620452184.2347062,435633.8830798234
0.3,Robust MPC,1,620452184.2347062,435633.8830798234
0.3,Economic MPC,2,620208596.3521082,435633.8830798234
0.3,Robust MPC,2,620208596.3521082,435633.8830798234
0.3,Economic MPC,3,620279585.5901085,435633.8830798234
0.3,Robust MPC,3,620279585.5901085,435633.8830798234
0.3,Economic MPC,4,620832643.6060358,435633.8830798234
0.3,Robust MPC,4,620832643.6060358,435633.8830798234
